[2022-04-05 10:56:17 PM-MyTrain_Val.py-INFO:Network-Train]
[2022-04-05 11:23:38 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0020/0548], Total_loss: 1.2919 Loss1: 1.1160 Loss2: 0.1759]
[2022-04-05 11:23:46 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0040/0548], Total_loss: 1.0229 Loss1: 0.9046 Loss2: 0.1184]
[2022-04-05 11:23:53 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0060/0548], Total_loss: 0.9294 Loss1: 0.8286 Loss2: 0.1007]
[2022-04-05 11:24:00 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0080/0548], Total_loss: 0.9024 Loss1: 0.7996 Loss2: 0.1028]
[2022-04-05 11:24:08 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0100/0548], Total_loss: 0.7997 Loss1: 0.7137 Loss2: 0.0860]
[2022-04-05 11:24:15 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0120/0548], Total_loss: 0.7766 Loss1: 0.6934 Loss2: 0.0831]
[2022-04-05 11:24:23 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0140/0548], Total_loss: 0.7269 Loss1: 0.6487 Loss2: 0.0782]
[2022-04-05 11:24:30 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0160/0548], Total_loss: 0.6840 Loss1: 0.5969 Loss2: 0.0871]
[2022-04-05 11:24:38 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0180/0548], Total_loss: 0.9060 Loss1: 0.7666 Loss2: 0.1395]
[2022-04-05 11:24:45 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0200/0548], Total_loss: 0.6618 Loss1: 0.5850 Loss2: 0.0768]
[2022-04-05 11:24:53 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0220/0548], Total_loss: 0.6161 Loss1: 0.5371 Loss2: 0.0790]
[2022-04-05 11:25:00 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0240/0548], Total_loss: 0.5966 Loss1: 0.5207 Loss2: 0.0759]
[2022-04-05 11:25:08 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0260/0548], Total_loss: 0.5919 Loss1: 0.5170 Loss2: 0.0750]
[2022-04-05 11:25:15 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0280/0548], Total_loss: 0.5565 Loss1: 0.4845 Loss2: 0.0720]
[2022-04-05 11:25:23 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0300/0548], Total_loss: 0.5322 Loss1: 0.4635 Loss2: 0.0687]
[2022-04-05 11:25:30 PM-MyTrain_Val.py-INFO:[Train Info]:Epoch [001/100], Step [0320/0548], Total_loss: 0.5282 Loss1: 0.4566 Loss2: 0.0716]
